wall_time,step,value
1759805413.2308342,335,-108.43734741210938
1759805413.528736,336,-108.72848510742188
1759805414.143447,337,-109.33636474609375
1759805415.731057,338,-107.02812194824219
1759805416.3345692,339,-107.296142578125
1759805416.7136998,340,-106.50289154052734
1759805416.9936018,341,-105.98313903808594
1759805417.2012887,342,-106.46942138671875
1759805417.4643307,343,-106.30206298828125
1759805418.0281508,344,-106.54437255859375
1759805419.128496,345,-111.71833801269531
1759805420.6765785,346,-114.07710266113281
1759805420.965327,347,-113.9847412109375
1759805421.2043483,348,-114.37039947509766
1759805421.6679246,349,-114.41343688964844
1759805423.7653198,350,-112.89418029785156
1759805423.898251,351,-112.88414764404297
1759805424.3359344,352,-113.05693054199219
1759805426.585711,353,-112.55819702148438
1759805428.8333495,354,-110.6539077758789
1759805429.128273,355,-111.60900115966797
1759805429.4440553,356,-111.56888580322266
1759805430.1682084,357,-109.83670806884766
1759805430.405784,358,-109.73506164550781
1759805431.5371368,359,-107.46340942382812
1759805431.8264194,360,-107.75008392333984
1759805432.7188718,361,-101.69183349609375
1759805433.059204,362,-102.1580810546875
1759805435.312365,363,-95.73561096191406
1759805435.5973463,364,-94.87460327148438
1759805435.8368902,365,-94.41377258300781
1759805436.2664623,366,-97.4961166381836
1759805436.9263575,367,-102.37782287597656
1759805438.4911017,368,-100.77506256103516
1759805440.7711167,369,-100.1818618774414
1759805441.0425866,370,-101.34928894042969
1759805443.0725043,371,-94.92578887939453
1759805443.3221486,372,-86.49715423583984
1759805443.568651,373,-85.6511459350586
1759805443.9580462,374,-83.79617309570312
1759805444.226786,375,-82.1104507446289
1759805444.4920456,376,-82.34505462646484
1759805444.7563865,377,-82.29522705078125
1759805446.7850409,378,-81.0331802368164
1759805447.9047878,379,-80.08462524414062
1759805448.1217186,380,-78.29292297363281
1759805448.3244538,381,-78.04654693603516
1759805449.1044931,382,-78.49694061279297
1759805449.321687,383,-79.51690673828125
1759805449.6402574,384,-78.535888671875
1759805449.970143,385,-77.39765167236328
1759805450.1722279,386,-77.3696060180664
1759805450.399842,387,-79.06674194335938
1759805452.4288259,388,-77.45889282226562
1759805452.7826717,389,-77.1732406616211
1759805453.0443895,390,-77.16866302490234
1759805454.2872937,391,-79.85786437988281
1759805455.4025416,392,-83.14324188232422
1759805455.753576,393,-83.9151840209961
1759805456.1610456,394,-80.30392456054688
1759805456.3797615,395,-79.636474609375
1759805457.588864,396,-82.28303527832031
1759805457.8572154,397,-84.1822509765625
1759805458.5463843,398,-81.67616271972656
1759805458.8065794,399,-81.28529357910156
1759805459.093353,400,-76.53733825683594
1759805461.1204824,401,-75.69884490966797
1759805462.1660733,402,-74.06694793701172
1759805462.4268734,403,-75.52112579345703
1759805462.8111513,404,-74.29969024658203
1759805463.0620434,405,-73.89189147949219
1759805463.3183024,406,-72.67433166503906
1759805463.5754378,407,-73.17327117919922
1759805463.8339586,408,-66.46402740478516
1759805465.0058725,409,-58.90583801269531
1759805465.2750227,410,-50.33942794799805
1759805466.004076,411,-51.127296447753906
1759805468.0295534,412,-49.29740524291992
1759805468.3529708,413,-50.211483001708984
1759805469.3595326,414,-47.901729583740234
1759805471.2584596,415,-50.04020309448242
1759805472.4771538,416,-48.175331115722656
1759805472.7157905,417,-49.847076416015625
1759805473.732868,418,-49.93074035644531
1759805473.96432,419,-50.59821319580078
1759805474.6453464,420,-53.98576354980469
1759805475.6730843,421,-57.56046676635742
1759805477.700253,422,-51.70774841308594
1759805479.5009663,423,-51.5028190612793
1759805480.3342624,424,-45.88218688964844
1759805481.6039734,425,-50.3684196472168
1759805482.225352,426,-47.227638244628906
1759805482.5089753,427,-45.70935821533203
1759805482.7545598,428,-47.604286193847656
1759805482.997814,429,-46.67736053466797
1759805483.75001,430,-47.33103561401367
1759805484.001206,431,-44.41313934326172
1759805484.3050177,432,-47.17896270751953
1759805485.5346222,433,-47.952266693115234
1759805485.7995932,434,-44.9378776550293
1759805486.97502,435,-47.44386291503906
1759805487.4079328,436,-44.47785568237305
1759805488.0692046,437,-42.094322204589844
1759805488.338568,438,-43.75031280517578
1759805488.597994,439,-43.52415084838867
1759805489.2180521,440,-48.968902587890625
1759805489.5270116,441,-49.137237548828125
1759805491.1909857,442,-46.74254608154297
1759805492.3827324,443,-47.5214729309082
1759805492.9462333,444,-47.054073333740234
1759805493.70984,445,-40.18080139160156
1759805494.9519534,446,-36.1291389465332
1759805497.0098934,447,-35.441776275634766
1759805497.3131683,448,-35.418453216552734
1759805497.5917265,449,-34.8768424987793
1759805498.0362487,450,-35.81837844848633
1759805499.9943676,451,-35.771968841552734
1759805500.2436576,452,-35.421287536621094
1759805501.1004062,453,-39.833892822265625
1759805502.6229608,454,-38.84340286254883
1759805503.4052582,455,-41.41343307495117
1759805504.4719143,456,-41.70365524291992
1759805504.9518735,457,-45.03252029418945
1759805505.4704087,458,-45.11569595336914
1759805505.9043875,459,-49.02975082397461
1759805506.236612,460,-48.46609115600586
1759805508.2454193,461,-49.74717712402344
1759805508.5897548,462,-49.17539978027344
1759805508.9190776,463,-49.92487335205078
1759805509.901966,464,-50.80760955810547
1759805511.9152792,465,-49.76591110229492
1759805512.3134067,466,-47.02685546875
1759805512.6256745,467,-42.50484848022461
1759805512.9490569,468,-45.83277893066406
1759805513.7809684,469,-47.33773422241211
1759805514.212397,470,-46.2713508605957
1759805514.6233478,471,-46.70008087158203
1759805514.9561346,472,-46.32270812988281
1759805515.3276432,473,-45.94486618041992
1759805515.6049676,474,-45.15732955932617
1759805515.9986613,475,-44.542930603027344
1759805516.6490238,476,-41.1445426940918
1759805517.5444884,477,-38.535675048828125
1759805518.041406,478,-39.911190032958984
1759805519.6597307,479,-39.226165771484375
1759805519.986418,480,-39.40088653564453
1759805521.225784,481,-39.44013595581055
1759805521.7233727,482,-41.652130126953125
1759805523.0311577,483,-38.943546295166016
1759805523.3603568,484,-39.155250549316406
1759805523.8001668,485,-39.08731460571289
1759805524.1590528,486,-38.36142349243164
1759805524.7471774,487,-37.09697341918945
1759805525.9562545,488,-40.573768615722656
1759805526.354225,489,-40.241607666015625
1759805527.247374,490,-37.1934928894043
1759805527.5046887,491,-36.064659118652344
1759805527.8797271,492,-33.39057540893555
